Station,Elevation,Date,TMin,TMax,Snow,Snow Depth,Cloudiness Percent
"DALLAS 2 NE, OR US",88.4,2026-01-01,27.0,46.0,,,
"DALLAS 2 NE, OR US",88.4,2026-01-02,36.0,48.0,,,
"DALLAS 2 NE, OR US",88.4,2026-01-03,41.0,49.0,,,
"DALLAS 2 NE, OR US",88.4,2026-01-04,43.0,49.0,,,
"DALLAS 2 NE, OR US",88.4,2026-01-05,34.0,50.0,,,
"DALLAS 2 NE, OR US",88.4,2026-01-06,32.0,46.0,,,
"DALLAS 2 NE, OR US",88.4,2026-01-07,35.0,47.0,,,
"ESTACADA 2 SE, OR US",156.7,2026-01-01,31.0,48.0,,,
"ESTACADA 2 SE, OR US",156.7,2026-01-02,38.0,46.0,,,
"ESTACADA 2 SE, OR US",156.7,2026-01-03,42.0,54.0,,,
"ESTACADA 2 SE, OR US",156.7,2026-01-04,42.0,53.0,,,
"ESTACADA 2 SE, OR US",156.7,2026-01-05,38.0,52.0,,,
"ESTACADA 2 SE, OR US",156.7,2026-01-06,36.0,47.0,,,
"ESTACADA 2 SE, OR US",156.7,2026-01-07,39.0,50.0,,,
"GOVERNMENT CAMP, OR US",1213.1,2026-01-01,31.0,43.0,0.0,6.0,
"GOVERNMENT CAMP, OR US",1213.1,2026-01-02,37.0,48.0,0.0,6.0,
"GOVERNMENT CAMP, OR US",1213.1,2026-01-03,33.0,43.0,0.0,6.0,
"GOVERNMENT CAMP, OR US",1213.1,2026-01-04,30.0,36.0,0.0,6.0,
"GOVERNMENT CAMP, OR US",1213.1,2026-01-05,27.0,33.0,0.5,6.0,
"GOVERNMENT CAMP, OR US",1213.1,2026-01-06,27.0,32.0,0.0,6.0,
"GOVERNMENT CAMP, OR US",1213.1,2026-01-07,24.0,28.0,9.0,15.0,
"HEADWORKS PORTLAND WATER B, OR US",228.0,2026-01-01,35.0,49.0,0.0,0.0,
"HEADWORKS PORTLAND WATER B, OR US",228.0,2026-01-02,40.0,44.0,0.0,0.0,
"HEADWORKS PORTLAND WATER B, OR US",228.0,2026-01-03,44.0,51.0,0.0,0.0,
"HEADWORKS PORTLAND WATER B, OR US",228.0,2026-01-04,44.0,51.0,0.0,0.0,
"HEADWORKS PORTLAND WATER B, OR US",228.0,2026-01-05,39.0,46.0,0.0,0.0,
"HEADWORKS PORTLAND WATER B, OR US",228.0,2026-01-06,37.0,43.0,0.0,0.0,
"HEADWORKS PORTLAND WATER B, OR US",228.0,2026-01-07,37.0,44.0,0.0,0.0,
"MOLALLA 7 NE, OR US",197.2,2026-01-01,36.0,40.0,,,
"MOLALLA 7 NE, OR US",197.2,2026-01-02,40.0,56.0,,,
"MOLALLA 7 NE, OR US",197.2,2026-01-03,42.0,55.0,,,
"MOLALLA 7 NE, OR US",197.2,2026-01-04,40.0,49.0,,,
"MOLALLA 7 NE, OR US",197.2,2026-01-05,34.0,47.0,,,
"MOLALLA 7 NE, OR US",197.2,2026-01-06,36.0,46.0,,,
"MOLALLA 7 NE, OR US",197.2,2026-01-07,36.0,44.0,,,
"THREE LYNX, OR US",341.4,2026-01-01,30.0,44.0,,,
"THREE LYNX, OR US",341.4,2026-01-02,37.0,41.0,,,
"THREE LYNX, OR US",341.4,2026-01-03,40.0,49.0,,,
"THREE LYNX, OR US",341.4,2026-01-04,44.0,48.0,,,
"THREE LYNX, OR US",341.4,2026-01-05,37.0,47.0,,,
"THREE LYNX, OR US",341.4,2026-01-06,34.0,43.0,,,
"THREE LYNX, OR US",341.4,2026-01-07,34.0,41.0,,,
"EAGLE CREEK OREGON, OR US",226.8,2026-01-01,34.0,41.0,,,
"EAGLE CREEK OREGON, OR US",226.8,2026-01-02,42.0,56.0,,,
"EAGLE CREEK OREGON, OR US",226.8,2026-01-03,43.0,53.0,,,
"EAGLE CREEK OREGON, OR US",226.8,2026-01-04,38.0,49.0,,,
"EAGLE CREEK OREGON, OR US",226.8,2026-01-05,34.0,45.0,,,
"EAGLE CREEK OREGON, OR US",226.8,2026-01-06,35.0,46.0,,,
"EAGLE CREEK OREGON, OR US",226.8,2026-01-07,36.0,43.0,,,
"HORSE CREEK OREGON, OR US",609.6,2026-01-01,40.0,50.0,,,
"HORSE CREEK OREGON, OR US",609.6,2026-01-02,45.0,50.0,,,
"HORSE CREEK OREGON, OR US",609.6,2026-01-03,37.0,47.0,,,
"HORSE CREEK OREGON, OR US",609.6,2026-01-04,33.0,40.0,,,
"HORSE CREEK OREGON, OR US",609.6,2026-01-05,30.0,37.0,,,
"HORSE CREEK OREGON, OR US",609.6,2026-01-06,31.0,35.0,,,
"HORSE CREEK OREGON, OR US",609.6,2026-01-07,28.0,33.0,,,
"RED BOX OREGON, OR US",990.6,2026-01-01,30.0,42.0,,,
"RED BOX OREGON, OR US",990.6,2026-01-02,38.0,51.0,,,
"RED BOX OREGON, OR US",990.6,2026-01-03,36.0,49.0,,,
"RED BOX OREGON, OR US",990.6,2026-01-04,32.0,40.0,,,
"RED BOX OREGON, OR US",990.6,2026-01-05,29.0,41.0,,,
"RED BOX OREGON, OR US",990.6,2026-01-06,28.0,33.0,,,
"RED BOX OREGON, OR US",990.6,2026-01-07,28.0,32.0,,,
"WANDERER S PEAK OREGON, OR US",1325.9,2026-01-01,34.0,48.0,,,
"WANDERER S PEAK OREGON, OR US",1325.9,2026-01-02,41.0,47.0,,,
"WANDERER S PEAK OREGON, OR US",1325.9,2026-01-03,32.0,45.0,,,
"WANDERER S PEAK OREGON, OR US",1325.9,2026-01-04,29.0,37.0,,,
"WANDERER S PEAK OREGON, OR US",1325.9,2026-01-05,28.0,38.0,,,
"WANDERER S PEAK OREGON, OR US",1325.9,2026-01-06,29.0,32.0,,,
"WANDERER S PEAK OREGON, OR US",1325.9,2026-01-07,25.0,31.0,,,
"MOUNT HOOD TEST SITE, OR US",1636.8,2026-01-01,32.0,42.0,,18.0,
"MOUNT HOOD TEST SITE, OR US",1636.8,2026-01-02,37.0,42.0,,16.0,
"MOUNT HOOD TEST SITE, OR US",1636.8,2026-01-03,31.0,38.0,,16.0,
"MOUNT HOOD TEST SITE, OR US",1636.8,2026-01-04,26.0,32.0,,23.0,
"MOUNT HOOD TEST SITE, OR US",1636.8,2026-01-05,21.0,31.0,,23.0,
"MOUNT HOOD TEST SITE, OR US",1636.8,2026-01-06,23.0,29.0,,28.0,
"MOUNT HOOD TEST SITE, OR US",1636.8,2026-01-07,21.0,27.0,,40.0,
"CLACKAMAS LAKE, OR US",1036.3,2026-01-01,26.0,32.0,,3.0,
"CLACKAMAS LAKE, OR US",1036.3,2026-01-02,32.0,40.0,,3.0,
"CLACKAMAS LAKE, OR US",1036.3,2026-01-03,31.0,40.0,,2.0,
"CLACKAMAS LAKE, OR US",1036.3,2026-01-04,32.0,38.0,,0.0,
"CLACKAMAS LAKE, OR US",1036.3,2026-01-05,29.0,33.0,,0.0,
"CLACKAMAS LAKE, OR US",1036.3,2026-01-06,27.0,32.0,,2.0,
"CLACKAMAS LAKE, OR US",1036.3,2026-01-07,28.0,32.0,,6.0,
"PEAVINE RIDGE, OR US",1042.4,2026-01-01,32.0,43.0,,5.0,
"PEAVINE RIDGE, OR US",1042.4,2026-01-02,37.0,49.0,,2.0,
"PEAVINE RIDGE, OR US",1042.4,2026-01-03,35.0,44.0,,2.0,
"PEAVINE RIDGE, OR US",1042.4,2026-01-04,34.0,40.0,,3.0,
"PEAVINE RIDGE, OR US",1042.4,2026-01-05,31.0,36.0,,5.0,
"PEAVINE RIDGE, OR US",1042.4,2026-01-06,31.0,34.0,,2.0,
"PEAVINE RIDGE, OR US",1042.4,2026-01-07,30.0,34.0,,14.0,
"BLAZED ALDER, OR US",1112.5,2026-01-01,32.0,44.0,,9.0,
"BLAZED ALDER, OR US",1112.5,2026-01-02,39.0,46.0,,8.0,
"BLAZED ALDER, OR US",1112.5,2026-01-03,36.0,45.0,,8.0,
"BLAZED ALDER, OR US",1112.5,2026-01-04,33.0,38.0,,7.0,
"BLAZED ALDER, OR US",1112.5,2026-01-05,31.0,35.0,,10.0,
"BLAZED ALDER, OR US",1112.5,2026-01-06,31.0,35.0,,11.0,
"BLAZED ALDER, OR US",1112.5,2026-01-07,29.0,33.0,,24.0,
"MUD RIDGE, OR US",1240.5,2026-01-01,33.0,40.0,,9.0,
"MUD RIDGE, OR US",1240.5,2026-01-02,39.0,46.0,,8.0,
"MUD RIDGE, OR US",1240.5,2026-01-03,34.0,41.0,,8.0,
"MUD RIDGE, OR US",1240.5,2026-01-04,33.0,37.0,,6.0,
"MUD RIDGE, OR US",1240.5,2026-01-05,28.0,35.0,,8.0,
"MUD RIDGE, OR US",1240.5,2026-01-06,28.0,34.0,,13.0,
"MUD RIDGE, OR US",1240.5,2026-01-07,28.0,33.0,,25.0,
"SOUTH FORK BULL RUN, OR US",819.9,2026-01-01,32.0,49.0,,0.0,
"SOUTH FORK BULL RUN, OR US",819.9,2026-01-02,36.0,48.0,,0.0,
"SOUTH FORK BULL RUN, OR US",819.9,2026-01-03,45.0,49.0,,0.0,
"SOUTH FORK BULL RUN, OR US",819.9,2026-01-04,39.0,47.0,,0.0,
"SOUTH FORK BULL RUN, OR US",819.9,2026-01-05,32.0,42.0,,0.0,
"SOUTH FORK BULL RUN, OR US",819.9,2026-01-06,31.0,36.0,,0.0,
"SOUTH FORK BULL RUN, OR US",819.9,2026-01-07,32.0,38.0,,3.0,
